,amount,day
0,0,2019-11-01
1,2,2019-10-01
2,6,2019-09-01
3,10,2019-08-01
4,10,2019-07-01
5,10,2019-06-01
6,12,2019-05-01
7,12,2019-04-01
8,4,2019-03-01
9,10,2019-02-01
10,18,2019-01-01
11,0,2018-12-01
12,24,2018-11-01
13,24,2018-10-01
14,26,2018-09-01
15,36,2018-08-01
16,74,2018-07-01
17,56,2018-06-01
18,82,2018-05-01
19,52,2018-04-01
20,84,2018-03-01
21,56,2018-02-01
22,14,2018-01-01
23,38,2017-12-01
24,90,2017-11-01
25,162,2017-10-01
26,914,2017-09-01
27,184,2017-08-01
28,62,2017-07-01
29,42,2017-06-01
30,78,2017-05-01
31,82,2017-04-01
32,74,2017-03-01
33,148,2017-02-01
34,116,2017-01-01
35,122,2016-12-01
36,498,2016-11-01
37,1766,2016-10-01
38,1788,2016-09-01
39,534,2016-08-01
40,28,2016-07-01
41,46,2016-06-01
42,56,2016-05-01
43,88,2016-04-01
44,74,2016-03-01
45,108,2016-02-01
46,68,2016-01-01
47,66,2015-12-01
48,208,2015-11-01
49,264,2015-10-01
50,1020,2015-09-01
51,942,2015-08-01
52,1102,2015-07-01
53,992,2015-06-01
54,932,2015-05-01
55,886,2015-04-01
56,806,2015-03-01
57,678,2015-02-01
58,158,2015-01-01
59,152,2014-12-01
