,amount,day
0,0,2019-11-01
1,0,2019-10-01
2,4,2019-09-01
3,4,2019-08-01
4,6,2019-07-01
5,6,2019-06-01
6,2,2019-05-01
7,6,2019-04-01
8,2,2019-03-01
9,4,2019-02-01
10,2,2019-01-01
11,6,2018-12-01
12,8,2018-11-01
13,14,2018-10-01
14,24,2018-09-01
15,14,2018-08-01
16,56,2018-07-01
17,42,2018-06-01
18,54,2018-05-01
19,52,2018-04-01
20,36,2018-03-01
21,82,2018-02-01
22,20,2018-01-01
23,58,2017-12-01
24,140,2017-11-01
25,192,2017-10-01
26,1152,2017-09-01
27,176,2017-08-01
28,52,2017-07-01
29,66,2017-06-01
30,76,2017-05-01
31,94,2017-04-01
32,86,2017-03-01
33,218,2017-02-01
34,164,2017-01-01
35,130,2016-12-01
36,602,2016-11-01
37,1818,2016-10-01
38,1750,2016-09-01
39,530,2016-08-01
40,42,2016-07-01
41,56,2016-06-01
42,70,2016-05-01
43,74,2016-04-01
44,64,2016-03-01
45,110,2016-02-01
46,44,2016-01-01
47,54,2015-12-01
48,156,2015-11-01
49,262,2015-10-01
50,872,2015-09-01
51,772,2015-08-01
52,830,2015-07-01
53,708,2015-06-01
54,708,2015-05-01
55,548,2015-04-01
56,588,2015-03-01
57,506,2015-02-01
58,164,2015-01-01
59,126,2014-12-01
